text,category,urgency
new friend request lisa rodriguez see post platform com content video comments inspiring disable notifications social com settings,social_media,low
amazon subscription suspended invoice inv ready view bit fakeprize dispute within hrshrs,spam,medium
service interruption resolved restaurant new features security updates install banking com statements changelog included,updates,low
moderator comment processed revised rules effective immediately key changes citation requirements news posts review wiki site page,forum,low
user spotlight member spotlight thread discussion started pixelartist settings forum com thread,forum,low
new message secret admirer samsung galaxy logged hrs minutes ago verify phishing site com secure account,spam,low
free shipping hotel stay celebrate entire purchase valid example com code flash,promotions,low
safety recall model restaurant new hours effective immediately oct midnight assignment confirmed manage booking service com status,updates,medium
reservation confirmed abc airlines new features new bug fixes install service com status changelog included,updates,medium
flight change new departure boarding gate changed details airline com manage,updates,low
clearance madness electronics loyal customer get exclusive example com offer code birthday,promotions,low
nearby tech conference today view profile platform com users sarah accept reject social com friends pending,social_media,low
new follower sarah johnson thanks sharing view social com events event reply disable social com settings,social_media,low
paypal used new device immediate action required subscription payment failed update payment phishing site com call support scam,spam,medium
paypal used new device dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,low
gaming reply python error thread discussion started codemaster settings wiki site page,forum,low
news groups follow college reunion photos view album platform com memories beach,social_media,low
selected luxury vacation immediate action required subscription payment failed update payment phishing site com call support fake,spam,medium
fitness studio founder membership access classes hardware lease vrfitnesslab founding members beta starting nov,promotions,low
crypto opportunity roi guaranteed immediate action required subscription payment failed update payment scam delivery com call support,spam,medium
data usage alert monthly quota new features new bug fixes install banking com statements changelog included,updates,high
suspicious activity facebook account immediate action required subscription payment failed update payment bit fakeprize call support fake,spam,medium
answered query technical support database upgrade completed successfully new features new search notifications faq support site ticket,forum,low
selected cruise see messaged amazon view bit fakeprize special offer membership,spam,low
google refund notification dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,low
policy update cookie policy changes confirm cancel company com updates payment due date building,updates,medium
security notice suspicious login blocked items shipped via fedex tracking estimated delivery nov track banking com statements,updates,high
temporary security pass use verification code device samsung galaxy location seattle,verify_code,low
user spotlight member spotlight thread discussion started datawiz settings forum com thread,forum,low
selected spa weekend apple requires immediate password update click scam delivery com failure within hrshrs causes lockout,spam,high
new badge awarded forum historian contributing archived thread preservations showcase forum com badges historian exclusive access historical data sets special role color activated,forum,low
birthday reminder friends week group tech enthusiasts live streaming join social com live conference,social_media,low
community announcement pool closure biometric login activated per request learn company com updates,updates,low
wiki edit approved gaming user techguru report forum com thread,forum,low
david kim liked photo sarah check emily amazing post reply social com chats hiking,social_media,low
reservation confirmed hotel booking confirm cancel banking com statements email building,updates,medium
achievement unlocked community star user datawiz posted helpful solution view wiki site page,forum,low
ama session science professor post per report details wiki site page,forum,low
airbnb host damage deposit claim property damage assessed dispute airbnb host protection resolve case,spam,low
new event tech conference photo tokyo received likes comments see insights platform com analytics content,social_media,low
popular near webinar group update book club posted video trending remote workers weekend plans,social_media,low
cooking reply css alignment database upgrade completed successfully new features new search notifications faq forum com thread,forum,low
microsoft inquiry invoice inv ready view scam delivery com dispute within hrshrs,spam,medium
delivery problem see messaged paypal view phishing site com special offer membership,spam,low
safety recall model biometric login activated per request learn company com updates,updates,medium
new event tech conference alex anyone free weekend lisa count reply social com chats hiking,social_media,low
verification pin transaction authorization enter share number,verify_code,low
event reminder meetup thread discussion started datawiz settings support site ticket,forum,low
member appreciation free upgrade free shipping upgrade day delivery apply automatically checkout valid week members store com,promotions,low
temporary pin pin required password reset facebook,verify_code,high
linkedin verification enter verify account recovery session auto cancel invalid attempts,verify_code,low
new follower lisa rodriguez view profile platform com users sarah accept reject social com friends pending,social_media,low
free airpods survey ipad pro logged hrs minutes ago verify phishing site com secure account,spam,low
reservation confirmed car rental updated terms service review changes banking com statements effective sep,updates,medium
facebook used new device invoice inv ready view scam delivery com dispute within hrshrs,spam,medium
crypto opportunity roi guaranteed see messaged microsoft view scam delivery com special offer membership,spam,low
identity confirmation code password reset share requested pst,verify_code,medium
delivery problem netflix requires immediate password update click phishing site com failure within hrshrs causes lockout,spam,high
post moved technical support revised rules effective immediately key changes citation requirements news posts review wiki site page,forum,low
early access holiday deals start preview holiday collection public shop early holiday preview com code earlyaccess,promotions,low
free airpods survey samsung galaxy logged hrs minutes ago verify scam delivery com secure account,spam,low
netflix security alert account frozen refund processed claim bit fakeprize complete within hrshrs,spam,high
moderation notice community guidelines update database upgrade completed successfully new features new search notifications faq forum com thread,forum,low
special offer deal ends time items lowest prices shop example com use code welcome,promotions,low
important phone number changed confirm cancel company com updates phone number building,updates,medium
service outage resolved new features dark mode performance boost install service com status changelog included,updates,low
ssa tax refund approval refund processed claim bit fakeprize complete within hrshrs,spam,low
delivery problem unusual login detected russia secure account phishing site com account suspended,spam,high
