text,category,urgency,rule_prediction,final_prediction
new friend request lisa rodriguez see post platform com content video comments inspiring disable notifications social com settings,social_media,low,medium,low
amazon subscription suspended invoice inv ready view bit fakeprize dispute within hrshrs,spam,medium,low,medium
service interruption resolved restaurant new features security updates install banking com statements changelog included,updates,low,medium,low
moderator comment processed revised rules effective immediately key changes citation requirements news posts review wiki site page,forum,low,medium,low
user spotlight member spotlight thread discussion started pixelartist settings forum com thread,forum,low,low,low
new message secret admirer samsung galaxy logged hrs minutes ago verify phishing site com secure account,spam,low,low,low
free shipping hotel stay celebrate entire purchase valid example com code flash,promotions,low,low,low
safety recall model restaurant new hours effective immediately oct midnight assignment confirmed manage booking service com status,updates,medium,medium,medium
reservation confirmed abc airlines new features new bug fixes install service com status changelog included,updates,medium,medium,medium
flight change new departure boarding gate changed details airline com manage,updates,low,low,low
clearance madness electronics loyal customer get exclusive example com offer code birthday,promotions,low,low,low
nearby tech conference today view profile platform com users sarah accept reject social com friends pending,social_media,low,low,low
new follower sarah johnson thanks sharing view social com events event reply disable social com settings,social_media,low,low,low
paypal used new device immediate action required subscription payment failed update payment phishing site com call support scam,spam,medium,low,medium
paypal used new device dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,low,low,low
gaming reply python error thread discussion started codemaster settings wiki site page,forum,low,low,low
news groups follow college reunion photos view album platform com memories beach,social_media,low,low,low
selected luxury vacation immediate action required subscription payment failed update payment phishing site com call support fake,spam,medium,low,medium
fitness studio founder membership access classes hardware lease vrfitnesslab founding members beta starting nov,promotions,low,low,low
crypto opportunity roi guaranteed immediate action required subscription payment failed update payment scam delivery com call support,spam,medium,low,medium
data usage alert monthly quota new features new bug fixes install banking com statements changelog included,updates,high,low,high
suspicious activity facebook account immediate action required subscription payment failed update payment bit fakeprize call support fake,spam,medium,low,high
answered query technical support database upgrade completed successfully new features new search notifications faq support site ticket,forum,low,low,low
selected cruise see messaged amazon view bit fakeprize special offer membership,spam,low,low,low
google refund notification dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,low,low,low
policy update cookie policy changes confirm cancel company com updates payment due date building,updates,medium,medium,medium
security notice suspicious login blocked items shipped via fedex tracking estimated delivery nov track banking com statements,updates,high,high,high
temporary security pass use verification code device samsung galaxy location seattle,verify_code,low,high,low
user spotlight member spotlight thread discussion started datawiz settings forum com thread,forum,low,low,low
selected spa weekend apple requires immediate password update click scam delivery com failure within hrshrs causes lockout,spam,high,low,high
new badge awarded forum historian contributing archived thread preservations showcase forum com badges historian exclusive access historical data sets special role color activated,forum,low,low,low
birthday reminder friends week group tech enthusiasts live streaming join social com live conference,social_media,low,medium,low
community announcement pool closure biometric login activated per request learn company com updates,updates,low,medium,low
wiki edit approved gaming user techguru report forum com thread,forum,low,low,low
david kim liked photo sarah check emily amazing post reply social com chats hiking,social_media,low,low,low
reservation confirmed hotel booking confirm cancel banking com statements email building,updates,medium,medium,medium
achievement unlocked community star user datawiz posted helpful solution view wiki site page,forum,low,high,low
ama session science professor post per report details wiki site page,forum,low,low,low
airbnb host damage deposit claim property damage assessed dispute airbnb host protection resolve case,spam,low,low,low
new event tech conference photo tokyo received likes comments see insights platform com analytics content,social_media,low,low,low
popular near webinar group update book club posted video trending remote workers weekend plans,social_media,low,medium,low
cooking reply css alignment database upgrade completed successfully new features new search notifications faq forum com thread,forum,low,low,low
microsoft inquiry invoice inv ready view scam delivery com dispute within hrshrs,spam,medium,low,medium
delivery problem see messaged paypal view phishing site com special offer membership,spam,low,low,low
safety recall model biometric login activated per request learn company com updates,updates,medium,medium,medium
new event tech conference alex anyone free weekend lisa count reply social com chats hiking,social_media,low,low,low
verification pin transaction authorization enter share number,verify_code,low,low,low
event reminder meetup thread discussion started datawiz settings support site ticket,forum,low,medium,low
member appreciation free upgrade free shipping upgrade day delivery apply automatically checkout valid week members store com,promotions,low,low,low
temporary pin pin required password reset facebook,verify_code,high,high,high
linkedin verification enter verify account recovery session auto cancel invalid attempts,verify_code,low,medium,low
new follower lisa rodriguez view profile platform com users sarah accept reject social com friends pending,social_media,low,low,low
free airpods survey ipad pro logged hrs minutes ago verify phishing site com secure account,spam,low,low,low
reservation confirmed car rental updated terms service review changes banking com statements effective sep,updates,medium,medium,medium
facebook used new device invoice inv ready view scam delivery com dispute within hrshrs,spam,medium,low,medium
crypto opportunity roi guaranteed see messaged microsoft view scam delivery com special offer membership,spam,low,low,low
identity confirmation code password reset share requested pst,verify_code,medium,high,medium
delivery problem netflix requires immediate password update click phishing site com failure within hrshrs causes lockout,spam,high,low,high
post moved technical support revised rules effective immediately key changes citation requirements news posts review wiki site page,forum,low,medium,low
early access holiday deals start preview holiday collection public shop early holiday preview com code earlyaccess,promotions,low,medium,low
free airpods survey samsung galaxy logged hrs minutes ago verify scam delivery com secure account,spam,low,low,low
netflix security alert account frozen refund processed claim bit fakeprize complete within hrshrs,spam,high,low,high
moderation notice community guidelines update database upgrade completed successfully new features new search notifications faq forum com thread,forum,low,medium,low
special offer deal ends time items lowest prices shop example com use code welcome,promotions,low,low,low
important phone number changed confirm cancel company com updates phone number building,updates,medium,medium,medium
service outage resolved new features dark mode performance boost install service com status changelog included,updates,low,low,low
ssa tax refund approval refund processed claim bit fakeprize complete within hrshrs,spam,low,low,low
delivery problem unusual login detected russia secure account phishing site com account suspended,spam,high,low,high
watch later recommended story see video social com posts photo comments love disable notifications social com settings,social_media,low,low,low
moderator report processed user techguru comment forum com thread,forum,low,low,low
back school discount discover items shop new styles example com code flash extra,promotions,low,low,low
support session code provide agent identity verification,verify_code,low,low,low
mike chen liked post sarah great event today lisa count reply platform com messages group,social_media,low,low,low
sarah johnson liked article friends checked tech hub see photos menu platform com locations venue,social_media,low,low,low
service interruption resolved abc airlines biometric login activated per request learn service com status,updates,medium,medium,medium
news groups follow friends checked central perk see photos menu platform com locations venue,social_media,low,low,low
answered query technical support thread discussion moved general support continue support site ticket,forum,low,low,low
temporary pin pin required account verification microsoft,verify_code,low,high,low
live meetup keynote grand canyon alex view album platform com memories beach,social_media,low,low,low
policy update cookie policy changes updated user agreement review changes service com status effective aug,updates,low,medium,low
