clean_text,category,urgency
anniversary special buy one get one free loyal customer get exclusive examplecom offer code welcome,promotions,low
amazon used new device refund processed claim bitlyfakeprize complete within hrshrs,spam,low
google inquiry hi following google application rate dropped apply phishingsitecom stop opt,spam,low
digital ritual experience creation crosscultural ceremony design join virtualritualsspace anthropological framework,social_media,low
post moved programming help trending cooking comment view supportsiteticket,forum,low
memory week friend checked downtown cafe see photo menu socialcomplacescafe,social_media,low
paypal fund release held verification confirm paypalfundreleasepay id pp,spam,medium
twostep verification code account verification enter share number,verify_code,low
secure access number enter verify password reset session autocancel invalid attempt,verify_code,high
moderation notice community guideline update thread discussion moved general support continue supportsiteticket,forum,low
news mike chen started new position group update hiking buddy posted article trending startup founder best summer destination,social_media,low
netflix subscription suspended unusual login detected russia secure account phishingsitecom account suspended,spam,high
post moved technical support thread discussion started pixelartist setting supportsiteticket,forum,low
nearby meetup today pm view profile socialcomprofilejohn acceptreject socialcomfriendspending,social_media,low
user spotlight member spotlight event start time prepare supportsiteticket,forum,low
apple verification code login confirmation share requested ip gmt,verify_code,medium
free dessert order deal end time item lowest price shop examplecom use code vip,promotions,low
event reminder meetup user techguru post supportsiteticket,forum,low
forum contest photo contest thread discussion moved general support continue supportsiteticket,forum,low
last chance warehouse clearance final hour biggest sale examplecom end time,promotions,low
new reply home server setup earned achievement badge view profile wikisitepage,forum,low
policy update term service change restaurant main pool closed aug maintenance sep pst assignment confirmed manage booking companycomupdates,updates,medium
microsoft withdrawal auth token expires est support contact securitycompanycom,verify_code,low
github verification pin required password reset apple,verify_code,high
github verification enter verify password reset session autocancel invalid attempt,verify_code,high
authentication token token expires pst support contact noreplyauthcom,verify_code,low
appointment confirmed dec gmt thank payment applied account receipt companycomupdates,updates,medium
new reply home server setup thread discussion moved general support continue forumcomthread,forum,low
member exclusive extra clearance hello valued member enjoy free shipping week shop examplecom expires date,promotions,low
nearby product launch today story paris received like comment see insight socialcominsightspost,social_media,low
post moved general discussion thread discussion moved general support continue forumcomthread,forum,low
ama session science professor event start time prepare forumcomthread,forum,low
payment received invoice inv weve updated privacy policy review change companycomupdates effective dec,updates,medium
new thread career advice match alert report per report detail wikisitepage,forum,high
amazon used new device immediate action required subscription payment failed update payment bitlyfakeprize call support scam,spam,medium
verification pin access code password reset valid,verify_code,high
autopayment failed subscription september statement available viewdownload companycomupdates action needed payment scheduled,updates,medium
login code reply enter verify password reset session autocancel invalid attempt,verify_code,high
anniversary discount hello valued member enjoy buy one get one free shop examplecom expires date,promotions,low
